District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Eastern,Java Road Municipal Services Building (non-residential),20/08/2020,"2299, 2468, 4341, 4719"
Wan Chai,Bowrington Road Market (non-residential),20/08/2020,"2387, 2857, 3027, 3384, 4624"
Kowloon City,Kowloon City Law Courts Building (non-residential),20/08/2020,"3310, 3383, 4641"
Yau Tsim Mong,Tak Bo Building (non-residential),20/08/2020,"4569, 4637"
Yau Tsim Mong,Yau Shing Commercial Centre Café de Coral (non-residential),20/08/2020,"4573, 4637"
Central & Western,The Center (non-residential),20/08/2020,"4661, 4713"
Kowloon City,To Kwa Wan Maket and Government Offices (non-residential),21/08/2020,"1498, 1620, 1716, 1754, 2265, 2296, 2322, 2338, 2496, 2896, 3031, 3183, 3669, 4636"
Yau Tsim Mong,Wah Yuen Factory Building (non-residential),21/08/2020,"4185, 4294, 4710"
Yuen Long,T Town (non-residential),21/08/2020,"4568, 4676, 4692"
Kowloon City,67 Pak Tai Street (non-residential),21/08/2020,"4636, 4662, 4665"
Eastern,114 Shau Kei Wan Road (non-residential),21/08/2020,"4638, 4647"
Tsuen Wan,On Fung Building (non-residential),22/08/2020,"4024, 4340, 4696"
Yuen Long,Tin Shui Shopping Centre (non-residential),22/08/2020,"4676, 4725"
Yau Tsim Mong,Mau Lam Commercial Building (non-residential),22/08/2020,"4693, 4694"
Yau Tsim Mong,Mong Kok Market (non-residential),23/08/2020,"2195, 3052, 3972, 4700"
Tuen Mun,Leung King Plaza (non-residential),23/08/2020,"2319, 2707, 3582, 4286, 4309, 4339, 4374, 4412, 4430, 4431, 4467, 4587, 4599, 4658, 4729"
Yuen Long,Tin Yan Shopping Centre (non-residential),23/08/2020,"3587, 3772, 4704"
Yuen Long,Tin Chak Shopping Centre (non-residential),23/08/2020,"4456, 4496, 4704"
Tsuen Wan,Block 3 Lei Muk Shue Estate (non-residential),23/08/2020,"4681, 4682, 4683, 4728, 4751, 4784, 4837"
Sham Shui Po,Hoi Lai Shopping Centre (non-residential),23/08/2020,"4685, 4701"
Tuen Mun,Leung King Plaza Kam Tai Pan (non-residential),24/08/2020,"4412, 4599, 4628, 4658, 4729"
Yau Tsim Mong,The Forest (non-residential),24/08/2020,"4604, 4700, 4785"
Kowloon City,Man Sang Commercial Building (non-residential),25/08/2020,"4741, 4767"
Sham Shui Po,Pei Ho Street Municipal Services Building Cooked Food Centre (non-residential),26/08/2020,"1435, 1558, 1980, 1997, 2234, 4309, 4746"
Yuen Long,Yuen Fat House (non-residential),26/08/2020,"4772, 4791"
Wan Chai,Hopewell Centre (non-residential),26/08/2020,"4799, 4811"
